index	title	original_title	creator	creator_lifespan	creator_nationality	date_created	location_created	medium	object_type	aspect_ratio	aspect_ratio_standard	orientation	master_width_px	master_height_px	megapixels	focal_anchors_count	physical_dimensions_raw	parsed_height_cm	parsed_width_cm	parsed_depth_cm	resolution_density_dpi	partner_name	partner_city_country	partner_website	partner_lat	partner_long	inventory_number	external_catalog_url	rights	art_movements	tags_and_topics	dominant_color	wikidata_qid	wikipedia_url	commons_image_url	asset_id	link
790	Jacob Meydenbach, Ortus Sanitatis					1491	Strasbourg		Printed book	1.4805	3:2 (Classic 35mm)	Landscape										The British Library	London, United Kingdom	http://www.bl.uk/	51.529972	-0.127676			Public Domain in most countries other than the UK. For more information visit: https://www.bl.uk/help/how-to-reuse-images-of-unpublished-manuscripts		Book, Botany, Charcoal, England, London, London Borough of Camden, Pottery, United Kingdom	#dac7a4				dgGLEthnw7Uppg	https://artsandculture.google.com/asset/jacob-meydenbach-ortus-sanitatis/dgGLEthnw7Uppg
789	History of Hertford House Hertford House		N/A			2020	London, England			1.5	3:2 (Classic 35mm)	Landscape										The Wallace Collection	London, United Kingdom	https://www.wallacecollection.org/	51.517323	-0.153088					Architecture, England, London, United Kingdom					mwFlwiWl_1JhUQ	https://artsandculture.google.com/asset/history-of-hertford-house-n-a/mwFlwiWl_1JhUQ
788	Out and About on the Central Line					2021-10-01				0.625	0.62:1	Portrait										TfL Corporate Archives	London, United Kingdom	https://tfl.gov.uk/corporate/about-tfl/culture-and-heritage/corporate-archives	0.0	0.0						#f8f3f2				wgG1AVC30reR7w	https://artsandculture.google.com/asset/out-and-about-on-the-central-line/wgG1AVC30reR7w
787	The Coronation Processional Way					1953-06-01				1.3027	4:3 (Standard)	Landscape										TfL Corporate Archives	London, United Kingdom	https://tfl.gov.uk/corporate/about-tfl/culture-and-heritage/corporate-archives	0.0	0.0					Ink	#5c533e				EwElmicMQNS53w	https://artsandculture.google.com/asset/the-coronation-processional-way/EwElmicMQNS53w
786	Festival of Britain 1951 Map		London Transport Executive			1951				1.2843	1.28:1	Landscape										TfL Corporate Archives	London, United Kingdom	https://tfl.gov.uk/corporate/about-tfl/culture-and-heritage/corporate-archives	0.0	0.0					Map, United Kingdom	#dde1c1				MwG37On4qeA6yg	https://artsandculture.google.com/asset/festival-of-britain-1951-map-london-transport-executive/MwG37On4qeA6yg
785	Map of British Empire Exhibition 1924					1924-04-01				1.3397	4:3 (Standard)	Landscape										TfL Corporate Archives	London, United Kingdom	https://tfl.gov.uk/corporate/about-tfl/culture-and-heritage/corporate-archives	0.0	0.0					Map, United Kingdom	#a6a4a2				dQEOJQ9q8ptKAg	https://artsandculture.google.com/asset/map-of-british-empire-exhibition-1924/dQEOJQ9q8ptKAg
784	Cartoon: The Lock Nescalator		Harry Beck			1934-01-01				1.4916	3:2 (Classic 35mm)	Landscape										TfL Corporate Archives	London, United Kingdom	https://tfl.gov.uk/corporate/about-tfl/culture-and-heritage/corporate-archives	0.0	0.0					Charcoal	#cdd0c2				twGLafIn5m5_GA	https://artsandculture.google.com/asset/cartoon-the-lock-nescalator-harry-beck/twGLafIn5m5_GA
783	"Cartoon: ""This Flat to Let"""		Harry Beck			1932-11-01				1.1926	1.19:1	Landscape										TfL Corporate Archives	London, United Kingdom	https://tfl.gov.uk/corporate/about-tfl/culture-and-heritage/corporate-archives	0.0	0.0					Charcoal	#bfb6a3				qgFx-TqmHt_LSg	https://artsandculture.google.com/asset/cartoon-this-flat-to-let-harry-beck/qgFx-TqmHt_LSg
782	Train Omnibus Tram (TOT): Our New Cover					1933-01-01				0.7746	3:4 (Portrait)	Portrait										TfL Corporate Archives	London, United Kingdom	https://tfl.gov.uk/corporate/about-tfl/culture-and-heritage/corporate-archives	0.0	0.0					Train	#171513				BQFkx8MI8GHx4w	https://artsandculture.google.com/asset/train-omnibus-tram-tot-our-new-cover/BQFkx8MI8GHx4w
781	Map of the East Indian Railway, Showing the Line proposed to be constructed to connect Culcutta with the North West Provinces and the intermediate Civil & Military Stations, to accompany the report of the Managing Director of the East Indian Railway, 1849		Unknown							1.0625	1.06:1	Landscape										Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Geography, Map, Rail transport, Transport	#d6c6af				5gHbd9RvOtqzGg	https://artsandculture.google.com/asset/map-of-the-east-indian-railway-showing-the-line-proposed-to-be-constructed-to-connect-culcutta-with-the-north-west-provinces-and-the-intermediate-civil-military-stations-to-accompany-the-report-of-the-managing-director-of-the-east-indian-railway-1849-unknown/5gHbd9RvOtqzGg
780	Map of the East Indian Railway		George Stephenson			1846	Culcutta	Lithograph, dissected and mounted on original linen, in original slipcase	Map	1.081	1.08:1	Landscape					110 x 117 cm	110.0	117.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Geography, Linen, Map, Rail transport, Textile, Trade, Train, Transport	#e9dabf				6wGzjsBFkrWiUA	https://artsandculture.google.com/asset/map-of-the-east-indian-railway-george-stephenson/6wGzjsBFkrWiUA
779	Northern India – Mughal Empire		William Baffin			1625	London	Copper engraving with hand colour	Document	1.3333	4:3 (Standard)	Landscape					32.2 x 37.5 cm	32.2	37.5			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Copper, Engraving, Geography, Kandahar, Map, Metal	#dbcaae				UwFtHwLnHQnzdQ	https://artsandculture.google.com/asset/northern-india-%E2%80%93-mughal-empire-william-baffin/UwFtHwLnHQnzdQ
778	India and the Silk Road, 3 sheets from the wall map Quattro Parte Del Mondo		Giovanni Francesco Camocio			1579	Venice	Copper engraving	Document	0.4369	0.44:1	Panoramic (Portrait / Vertical Scroll)					100 x 44.5 cm	100.0	44.5			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Copper, Engraving, Geography, India, Map, Metal, Trade	#d4c2ab				iQHH4sxQNbaX6w	https://artsandculture.google.com/asset/india-and-the-silk-road-3-sheets-from-the-wall-map-quattro-parte-del-mondo-giovanni-francesco-camocio/iQHH4sxQNbaX6w
777	India		Jacobo Gastaldi			1554	Venice	Woodcut map	Document	1.4323	1.43:1	Landscape					29.2 x 42 cm	29.2	42.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Map	#eee4cc				lgGEC_F9SCGsmA	https://artsandculture.google.com/asset/india-jacobo-gastaldi/lgGEC_F9SCGsmA
776	Views of Kozhikode and Kannur, Kerala with Hormuz, Iran and Elmina, Ghana		Georg Braun			1572	Cologne	Copper engraving with original hand colour	Document	1.3333	4:3 (Standard)	Landscape					39.6 x 53.4 cm	39.6	53.4			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Africa, Copper, Elmina, Engraving, Ghana, India, Iran, Kannur, Kozhikode, Metal	#e0c392				ZwGI8_vPDqpWUA	https://artsandculture.google.com/asset/views-of-kozhikode-and-kannur-kerala-with-hormuz-iran-and-elmina-ghana-georg-braun/ZwGI8_vPDqpWUA
775	India and East Asia		Lorenz Fries			Mid 16th Century	Lyon	Woodcut with hand colour	Document	1.3333	4:3 (Standard)	Landscape	4680	3510	16.43	2	30 x 47.5 cm	30.0	47.5		250.3	Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Geography, India, Map	#d2c2a9				uAEG5XNWCcaDIA	https://artsandculture.google.com/asset/india-and-east-asia-lorenz-fries/uAEG5XNWCcaDIA
774	Ptolemaic India		Bernardus Sylvanus, after Claudius Ptolemy (c. 90 - c.168 AD).			1511	Venice	Woodcut, printed in two colours	Document	1.3333	4:3 (Standard)	Landscape					40.8 x 54.5 cm	40.8	54.5			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Geography, Map	#dbc5a8				SQF8lvV0tJA8yg	https://artsandculture.google.com/asset/ptolemaic-india-bernardus-sylvanus-after-claudius-ptolemy-c-90-c-168-ad/SQF8lvV0tJA8yg
773	Cuddalore, Tamil Nadu		Jean-claude Dezauche			1783	Paris	Copper engraving with original hand colour, dissected and mounted on linen as issued	Document	1.1461	1.15:1	Landscape					44.8 x 49.3 cm	44.8	49.3			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Copper, Engraving, India, Linen, Map, Metal, Textile	#f3e4c1				KgGabCYhs3QDnA	https://artsandculture.google.com/asset/cuddalore-tamil-nadu-jean-claude-dezauche/KgGabCYhs3QDnA
