index	title	original_title	creator	creator_lifespan	creator_nationality	date_created	location_created	medium	object_type	aspect_ratio	aspect_ratio_standard	orientation	master_width_px	master_height_px	megapixels	focal_anchors_count	physical_dimensions_raw	parsed_height_cm	parsed_width_cm	parsed_depth_cm	resolution_density_dpi	partner_name	partner_city_country	partner_website	partner_lat	partner_long	inventory_number	external_catalog_url	rights	art_movements	tags_and_topics	dominant_color	wikidata_qid	wikipedia_url	commons_image_url	asset_id	link
603	Stage Design, View into Palace					early 18th century	Bologna, Italy	Pen and brown ink, brush and gray and pink wash, brush and blue watercolor on laid paper		0.768	3:4 (Portrait)	Portrait										Cooper Hewitt, Smithsonian Design Museum	New York, United States	http://www.cooperhewitt.org/	40.784396	-73.957873					Architecture, Building, Ink, Laid paper, Pen, Watercolor painting	#5c5550				jQG3Yho_NR9iSA	https://artsandculture.google.com/asset/stage-design-view-into-palace/jQG3Yho_NR9iSA
602	Welcome to Mapperton House & Gardens!		Mapperton			2020-06	Beaminster, Dorset, England															Historic Houses	United Kingdom	https://www.historichouses.org/							Beaminster, England, United Kingdom					xQEoZI5yehd96g	https://artsandculture.google.com/asset/welcome-to-mapperton-house-gardens-mapperton/xQEoZI5yehd96g
601	The South West end of the garden at Plas Brondanw		Plas Brondanw			2020-07	Llanfrothen, Gwynedd, Wales			1.498	3:2 (Classic 35mm)	Landscape										Historic Houses	United Kingdom	https://www.historichouses.org/							Castle, Cumulus, Plas Brondanw Cafe, Snowdonia National Park, United Kingdom, Wales	#e8ebf0				2wHG3FkbELUxUg	https://artsandculture.google.com/asset/the-south-west-end-of-the-garden-at-plas-brondanw-plas-brondanw/2wHG3FkbELUxUg
600	Jekyll's planting scheme for West Rill.					1904/1904				1.9955	2:1 (Univisium)	Landscape										Hestercombe House & Gardens	Taunton, United Kingdom	https://www.hestercombe.com/	51.05311	-3.085766			Gertrude Jekyll Collection, Environmental Design Archives, UC Berkeley.			#e9d9c3				-gHpPAZmXJYKxA	https://artsandculture.google.com/asset/jekyll-s-planting-scheme-for-west-rill/-gHpPAZmXJYKxA
599	Coloured plan by Gertrude Jekyll: Hestercombe Wall facing East; with borders & rill on higher level [West Rill & West Plat Border] nd [c. 1906].					1906/1907				1.2228	1.22:1	Landscape										Hestercombe House & Gardens	Taunton, United Kingdom	https://www.hestercombe.com/	51.05311	-3.085766			Gertrude Jekyll Collection, Environmental Design Archives, UC Berkeley.		Cheddon Fitzpaine, England, Gardening, Ink, United Kingdom	#d3c2ab				YwEevSDEc1upKQ	https://artsandculture.google.com/asset/coloured-plan-by-gertrude-jekyll-hestercombe-wall-facing-east-with-borders-rill-on-higher-level-west-rill-west-plat-border-nd-c-1906/YwEevSDEc1upKQ
598	Privy Garden								Site	1.4998	3:2 (Classic 35mm)	Landscape										English Heritage	United Kingdom	http://www.english-heritage.org.uk/					English Heritage		Agriculture, England, Gardening, Newport, United Kingdom	#f0f5f9				QAHW6478njTsXw	https://artsandculture.google.com/asset/privy-garden/QAHW6478njTsXw
597	Back Garden Designs from The New Illustrated Gardening Encyclopaedia		Unknown			c.1935	Unknown			1.398	1.40:1	Landscape										Garden Museum	London, United Kingdom	https://gardenmuseum.org.uk/	51.4949	-0.1202					Agriculture, Gardening, Ink	#d1c2ad				eAG4Y_ERYgG77A	https://artsandculture.google.com/asset/back-garden-designs-from-the-new-illustrated-gardening-encyclopaedia-unknown/eAG4Y_ERYgG77A
596	Plans for a revived garden by Catherine FitzGerald		Glenarm Castle			2004	Ballymena, Northern Ireland			1.2112	1.21:1	Landscape										Historic Houses	United Kingdom	https://www.historichouses.org/							Castle, Football, Garden, Ireland, Northern Ireland, Plan, United Kingdom	#fafcfb				jQH-yIO8k0zxXQ	https://artsandculture.google.com/asset/plans-for-a-revived-garden-by-catherine-fitzgerald-glenarm-castle/jQH-yIO8k0zxXQ
595	Hedges break up the view at Glenarm Castle Walled Garden		Glenarm Castle			2020-06	Ballymena, Northern Ireland			1.5056	3:2 (Classic 35mm)	Landscape	4288	2848	12.21	1						Historic Houses	United Kingdom	https://www.historichouses.org/							Gardening, Glenarm Castle, Ireland, Northern Ireland, United Kingdom	#87aa34				XgE8JE4uveuI_g	https://artsandculture.google.com/asset/hedges-break-up-the-view-at-glenarm-castle-walled-garden-glenarm-castle/XgE8JE4uveuI_g
594	The goddess Flora stands between the garden and the view		Plas Brondanw			2020-07	Llanfrothen, Gwynedd, Wales			1.498	3:2 (Classic 35mm)	Landscape										Historic Houses	United Kingdom	https://www.historichouses.org/							Beauty, Gardening, Mountain, United Kingdom, Wales	#9caa3a				aQFRHXrICje4fQ	https://artsandculture.google.com/asset/the-goddess-flora-stands-between-the-garden-and-the-view-plas-brondanw/aQFRHXrICje4fQ
593	The formal gardens at Kenilworth Castle								Site	1.5774	16:10	Landscape										English Heritage	United Kingdom	http://www.english-heritage.org.uk/					English Heritage		Agriculture, Architecture, Cumulus, England, Gardening, Kenilworth, Kenilworth Castle and Elizabethan Garden, United Kingdom	#b0c1d8				eAFyralNmu4cJw	https://artsandculture.google.com/asset/the-formal-gardens-at-kenilworth-castle/eAFyralNmu4cJw
592	The Frick Collection, Drawing of Garden RP/1/14/15/13		Russell Page			1976/1977				1.4627	3:2 (Classic 35mm)	Landscape										Garden Museum	London, United Kingdom	https://gardenmuseum.org.uk/	51.4949	-0.1202		https://gardenmuseum.org.uk/archive/russell-page-frick-collection/	©Estate of Russell Page		Central Park West Historic District, Garden, Gardening, Henry Clay Frick House, New York, United States	#e2c4a1				TAFziNbp1AIJew	https://artsandculture.google.com/asset/the-frick-collection-drawing-of-garden-rp-1-14-15-13-russell-page/TAFziNbp1AIJew
591	The Sunken Garden, Kensington Palace					2011	Kensington Palace			1.5	3:2 (Classic 35mm)	Landscape	5616	3744	21.03	1						Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/				Image from Historic Royal Palaces Image Library	© Historic Royal Palaces. Photograph: Robin Forster		England, Garden, Kensington Palace, London, United Kingdom	#537593				iAHd_bQC9G6yjQ	https://artsandculture.google.com/asset/the-sunken-garden-kensington-palace/iAHd_bQC9G6yjQ
590	Her Majesties Royal Palace at Kensington					c1707-14	Kensington Palace			1.5964	16:10	Landscape										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/				Image from Historic Royal Palaces Image Library	© Historic Royal Palaces		Building, England, Garden, Kensington Palace, London, Palace, United Kingdom	#d0b89f				NAE_A4-dChj0XA	https://artsandculture.google.com/asset/her-majesties-royal-palace-at-kensington/NAE_A4-dChj0XA
589	18th century engraving of view of gardens, Hampton Court Palace					1749	Hampton Court Palace			1.2442	1.24:1	Landscape										Historic Royal Palaces	United Kingdom	https://www.hrp.org.uk/				Image from Historic Royal Palaces Image Library	© Historic Royal Palacesâ€‹		Building, East Molesey, England, Engraving, Hampton Court Palace, Palace, United Kingdom	#eddbc2				WgEwGus2IJfNKw	https://artsandculture.google.com/asset/18th-century-engraving-of-view-of-gardens-hampton-court-palace/WgEwGus2IJfNKw
588	21_21 DESIGN SIGHT		Tadao Ando and Photo: Masaya Yoshimura			2007			Architecture	1.7253	1.73:1	Landscape										Tadao Ando Architect & Associates	Osaka, Japan	http://www.tadao-ando.com							Japan, Minato City, Tokyo	#65a4d6				awEQ3l1eeJEnIA	https://artsandculture.google.com/asset/21-21-design-sight-tadao-ando-and-photo-masaya-yoshimura/awEQ3l1eeJEnIA
587	Chichu Art Museum		Tadao Ando			2004			Architecture	0.6654	2:3 (Portrait)	Portrait										Tadao Ando Architect & Associates	Osaka, Japan	http://www.tadao-ando.com							Chichu Art Museum, Japan, Naoshima	#b1c0c4				cAFAKezl8yHceg	https://artsandculture.google.com/asset/chichu-art-museum-tadao-ando/cAFAKezl8yHceg
586	Chichu Art Museum		Tadao Ando			2004			Architecture	1.7778	16:9 (Widescreen)	Landscape										Tadao Ando Architect & Associates	Osaka, Japan	http://www.tadao-ando.com							Chichu Art Museum, Japan, Naoshima	#131614				wgHIprh_kYt2LQ	https://artsandculture.google.com/asset/chichu-art-museum-tadao-ando/wgHIprh_kYt2LQ
585	Stage Design: Architectural Perspective					ca. 1580	Italy	Pen and brown ink, brush and grey watercolor wash; on verso: red and black crayon on laid paper.		1.1065	1.11:1	Landscape										Cooper Hewitt, Smithsonian Design Museum	New York, United States	http://www.cooperhewitt.org/	40.784396	-73.957873					Architecture, Crayon, Ink, Laid paper, Pen, Theater, Watercolor painting	#dbc0a1				BQHTTo2o_vL4sg	https://artsandculture.google.com/asset/stage-design-architectural-perspective/BQHTTo2o_vL4sg
584	Sissinghurst Castle, Cranbrook, Kent		English Heritage			2001-05-11				1.0059	1:1 (Square)	Square										Historic England	London, United Kingdom	http://www.historicengland.org.uk	51.51072	-0.091032			Copyright Historic England		Cranbrook, England, Sissinghurst Castle Garden, United Kingdom	#6c7d54				FwFzlPm6muN7rg	https://artsandculture.google.com/asset/sissinghurst-castle-cranbrook-kent-english-heritage/FwFzlPm6muN7rg
583	Kinetic Object		Abraham Palatnik	1928	Brazilian	1966		industrial paint, wood, metal and electric circuit	object	0.9775	1:1 (Square)	Square	3910	4000	15.64	1	120.2 x 120.2 x 20 cm	120.2	120.2	20.0	82.6	MAM Rio	Rio de Janeiro, Brazil	http://mam.rio	-22.906847	-43.172896					Metal, Oil paint, Wood	#efefec				TgHzrA5o-SHHJQ	https://artsandculture.google.com/asset/kinetic-object-abraham-palatnik/TgHzrA5o-SHHJQ
582	UNO rules																											Learn more								iQEsR-m-MXL9Vg	https://artsandculture.google.com/asset/uno-rules/iQEsR-m-MXL9Vg
581	Trade sign		Unknown creator			1825/1875	Unknown	gilded wood	Trade Sign	1.4984	3:2 (Classic 35mm)	Landscape										Museum of Norwich at the Bridewell	Norwich, United Kingdom	http://www.museums.norfolk.gov.uk/Visit_Us/Museum_of_Norwich_at_the_Bridewell/index.htm	52.630127	1.295146					Economy, Gold, Wood	#161616				TwEMWzXLhMF6Qg	https://artsandculture.google.com/asset/trade-sign-unknown-creator/TwEMWzXLhMF6Qg
580	Same Forest, Different Forest		Nam, Kyung Min	1968	Korean	2008		Oil on linen	Painting	0.6795	2:3 (Portrait)	Portrait	3144	4627	14.55	1	w890 x h1310 cm	1310.0	890.0		9.0	Korean Art Museum Association	Seoul, South Korea	http://www.artmuseums.or.kr/	37.576484	126.984555				Contemporary art	Interior design, Linen, Oil paint, Textile	#e3dfc3				FgHLLNsMzju5oQ	https://artsandculture.google.com/asset/same-forest-different-forest-nam-kyung-min/FgHLLNsMzju5oQ
579	Mrs. Jenkins' Late Night Dinner in Her Room, Alone (While, Out in the Hall Leading to Her Room, Her Small Friends were Sleeping)		Donald Roller Wilson	1938	American	1984			painting	1.3453	4:3 (Standard)	Landscape	2700	2007	5.42	3						Blanton Museum of Art	Austin, TX, United States	http://www.blantonmuseum.org/	30.280811	-97.737684		https://blanton.emuseum.com/objects/14833			Interior design	#2e302d				mwEUgsia3_Of8w	https://artsandculture.google.com/asset/mrs-jenkins-late-night-dinner-in-her-room-alone-while-out-in-the-hall-leading-to-her-room-her-small-friends-were-sleeping-donald-roller-wilson/mwEUgsia3_Of8w
578	Cabinet		Ernest Gimson	1864 - 1919	English	1891			Macassar ebony, inlaid with palm orange trees and ebony; interior in cypress, sycamore and balsam	0.7045	2:3 (Portrait)	Portrait	4096	5814	23.81	1	w1010 x h1390 x d450 cm					Musée d’Orsay, Paris	Paris, France	http://www.musee-orsay.fr/fr/accueil.html	48.859961	2.326561		https://www.musee-orsay.fr/en/collections	© RMN (Musée d'Orsay)		Design, Ebony, Furniture, Interior design, Wood	#e7e7e6				PQE_pIkT_AHXHA	https://artsandculture.google.com/asset/cabinet-ernest-gimson/PQE_pIkT_AHXHA
577	Peasant Wedding		Pieter Bruegel the Elder	ca. 1526/30 - 1569	flemish	1566-1569		Oil on Wood	paintings	1.4463	1.45:1	Landscape	7680	5310	40.78	4	w1640 x h1140 cm (without frame)	1140.0	1640.0		11.9	Kunsthistorisches Museum Wien	Vienna, Austria	http://www.khm.at/en/	48.203802	16.361787	GG 1027	http://www.khm.at/en/collections/picture-gallery		Dutch and Flemish Renaissance painting, Northern Renaissance, Renaissance	Beer, Cooking, Marriage, Oil paint, Wedding	#130f11	http://www.wikidata.org/entity/Q603751	https://en.wikipedia.org/wiki/The_Peasant_Wedding	http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Peasant%20Wedding%20-%20Google%20Art%20Project.jpg	hgGvote2WI8P3w	https://artsandculture.google.com/asset/peasant-wedding-pieter-bruegel-the-elder/hgGvote2WI8P3w
576	Two Triangles within a Square #3		Robert Mangold			1975		graphite and yellow pencil on brown wove paper		1.003	1:1 (Square)	Square					overall: 50.2 x 50.2 cm (19 3/4 x 19 3/4 in.)	50.2	50.2			National Gallery of Art, Washington DC	Washington, DC, United States	http://www.nga.gov/	38.891298	-77.019965			CC0	Minimalism, Modern art	Colored pencil, Graphite, Laid paper, Pencil	#927d62				SgFF4E6tQTMjTg	https://artsandculture.google.com/asset/two-triangles-within-a-square-3-robert-mangold/SgFF4E6tQTMjTg
575	Untitled II		Robert Mangold			1972		acrylic and graphite on hardboard		1.0614	1.06:1	Landscape					overall size (painting is shaped and curved): 26 x 27.6 cm (10 1/4 x 10 7/8 in.)	26.0	27.6			National Gallery of Art, Washington DC	Washington, DC, United States	http://www.nga.gov/	38.891298	-77.019965			CC0	Minimalism, Modern art	Acrylic paint, Graphite	#fb8e69				jQG8mDBUP9TWqQ	https://artsandculture.google.com/asset/untitled-ii-robert-mangold/jQG8mDBUP9TWqQ
574	Four Squares within a Circle		Robert Mangold			1975		acrylic and graphite on canvas		1.0	1:1 (Square)	Square					diameter: 45.09 cm (17 3/4 in.)					National Gallery of Art, Washington DC	Washington, DC, United States	http://www.nga.gov/	38.891298	-77.019965			CC0	Minimalism, Modern art	Acrylic paint, Graphite	#f8dd61				hQFgV4mvqsZljw	https://artsandculture.google.com/asset/four-squares-within-a-circle-robert-mangold/hQFgV4mvqsZljw
573	La muerte tocando guitarra		Fernando Botero	1932	Colombian	1980			Watercolor	0.7517	3:4 (Portrait)	Portrait					w1190 x h1640 mm	164.0	119.0			Museo Botero, Bogotá	Bogota, Colombia	http://www.banrepcultural.org/museos-y-colecciones/museo-botero	4.596698	-74.07335		Museo Botero	Banco de la República, 2000	Contemporary art	Guitar, Musical instrument, Watercolor painting	#714d36				gwFVBC32n7k92Q	https://artsandculture.google.com/asset/la-muerte-tocando-guitarra/gwFVBC32n7k92Q
572	Children’s Games		Pieter Bruegel the Elder	ca. 1526/30 - 1569	flemish	1560		Oil on Wood	paintings	1.3768	1.38:1	Landscape					w1610 x h1180 cm (without frame)	1180.0	1610.0			Kunsthistorisches Museum Wien	Vienna, Austria	http://www.khm.at/en/	48.203802	16.361787	GG 1017	http://www.khm.at/en/collections/picture-gallery		Dutch and Flemish Renaissance painting, Northern Renaissance, Renaissance	Oil paint	#734a19	http://www.wikidata.org/entity/Q697332	https://en.wikipedia.org/wiki/Children%27s_Games_(Bruegel)	http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Children%E2%80%99s%20Games%20-%20Google%20Art%20Project.jpg	CQEeZWQPOI2Yjg	https://artsandculture.google.com/asset/children%E2%80%99s-games-pieter-bruegel-the-elder/CQEeZWQPOI2Yjg
571	The Concert		Jan Vermeer			About 1665		Oil paint		0.8902	0.89:1	Portrait	2222	2496	5.55	2	w64.7 x h72.5 cm	72.5	64.7		87.2	Isabella Stewart Gardner Museum	Boston, United States	https://www.gardnermuseum.org/	42.338144	-71.099058	P21w27	More on the 1990 theft of this work from the Gardner Museum	Isabella Stewart Gardner Museum, Boston	Baroque, Dutch Golden Age	Musical instrument, Oil paint	#1e1a18	http://www.wikidata.org/entity/Q1169395	https://en.wikipedia.org/wiki/The_Concert_(Vermeer)	http://commons.wikimedia.org/wiki/Special:FilePath/Vermeer%20The%20Concert.jpg	rQFBfEQQR7WNWA	https://artsandculture.google.com/asset/the-concert-jan-vermeer/rQFBfEQQR7WNWA
570	Queer artists																											Learn more								EwGSQVGPo5PrcA	https://artsandculture.google.com/asset/queer-artists/EwGSQVGPo5PrcA
569	A Man in a Black Cap	A Man in a Black Cap	John Bettes	1531/1570		1545		Painting	Painting	0.857	0.86:1	Portrait	3932	4588	18.04	3	w41 x h47 mm	4.7	4.1		2435.9	Tate Britain	London, United Kingdom	http://www.tate.org.uk/britain/	51.491062	-0.127789	N01496				Hat, Oil paint	#171816	http://www.wikidata.org/entity/Q18686656		http://commons.wikimedia.org/wiki/Special:FilePath/John%20Bettes%20-%20A%20Man%20in%20a%20Black%20Cap%20-%20Google%20Art%20Project.jpg	QQGHh8CTDo_TYA	https://artsandculture.google.com/asset/a-man-in-a-black-cap-john-bettes/QQGHh8CTDo_TYA
568	Kara Walker: Darkytown Rebellion, 2001		Kara Walker			2001		Cut paper and wall projection		1.5056	3:2 (Classic 35mm)	Landscape	4288	2848	12.21	4						Mudam Luxembourg – The Contemporary Art Museum of Luxembourg	1499, Luxembourg	http://www.mudam.com/	49.617122	6.140341		http://www.mudam.lu/en/le-musee/la-collection/details/artist/kara-walker/	Collection Mudam Luxembourg © Photo : Andrés Lejona	Conceptual art, Contemporary art	Foil, Metal	#7a6e53				3AGP-gbWUkKt8Q	https://artsandculture.google.com/asset/kara-walker-darkytown-rebellion-2001-kara-walker/3AGP-gbWUkKt8Q
567	Lion: A Newfoundland Dog		Landseer, Edwin Henry (Sir, RA)	1802 - 1873		1824 (painted) - 1824			Oil painting	1.2669	1.27:1	Landscape	3869	3054	11.82	1	Height: 149.8 cm estimate, Width: 195.6 cm estimate, Weight: 115 kg					The Victoria and Albert Museum	London, United Kingdom	http://www.vam.ac.uk/	51.496639	-0.17218		http://collections.vam.ac.uk/item/O69349	Bequeathed by Mrs Ann de Merle		Animal, Dog, Oil paint, Pet, United Kingdom	#f8f7f6				GAFQYDIYRqRX9g	https://artsandculture.google.com/asset/lion-a-newfoundland-dog/GAFQYDIYRqRX9g
566	Sin título		Fernando García Ponce	1933, Mérida, Yucatán - 1987, Ciudad de México, D.F.	Mexicano	1974 - 1974			Serigrafía	0.7685	3:4 (Portrait)	Portrait					w50 x h65 cm (Complete)	65.0	50.0			Museo de Arte Contemporáneo Ateneo de Yucatán, MACAY, Fernando García Ponce	Mérida, Mexico	http://macay.org	20.96682	-89.622568		Museo Fernando García Ponce - MACAY	Colección privada	Contemporary art, Geometric abstraction	Rice paper	#dfdfe3				5gGIPY0bYI_DfQ	https://artsandculture.google.com/asset/sin-t%C3%ADtulo/5gGIPY0bYI_DfQ
565	Portrait of Giovanna Tornabuoni		Domenico Ghirlandaio			1489 - 1490		Mixed technique on panel	Painting	0.6294	2:3 (Portrait)	Portrait					77 x 49 cm	77.0	49.0			Museo Nacional Thyssen-Bornemisza	Madrid, Spain	http://www.museothyssen.org/en/thyssen/home	40.416041	-3.694925	158 (1935.6)	Work details on the museum's website		Italian Renaissance, Renaissance	Gesso, Madrid, Oil paint, Portrait, Spain, Tempera	#353330	http://www.wikidata.org/entity/Q2623789	https://en.wikipedia.org/wiki/Portrait_of_Giovanna_Tornabuoni	http://commons.wikimedia.org/wiki/Special:FilePath/Domenico%20Ghirlandaio%2C%201489-1490%20-%20Portrait%20of%20Giovanna%20Tornabuoni%20-%20Google%20Art%20Project.jpg	igFh0HgpLdzCXg	https://artsandculture.google.com/asset/portrait-of-giovanna-tornabuoni-domenico-ghirlandaio/igFh0HgpLdzCXg
564	"Sin título ""A-C"""		Fernando García Ponce	1933, Mérida, Yucatán - 1987, Ciudad de México, D.F.	Mexicano	1984 - 1984			Serigrafía/ Collage	0.7336	3:4 (Portrait)	Portrait					w56 x h76 cm (Complete)	76.0	56.0			Museo de Arte Contemporáneo Ateneo de Yucatán, MACAY, Fernando García Ponce	Mérida, Mexico	http://macay.org	20.96682	-89.622568		Museo Fernando García Ponce - MACAY	Colección privada	Contemporary art	Cardboard	#e0dddd				dgEkjBURd0DbaA	https://artsandculture.google.com/asset/sin-t%C3%ADtulo-a-c/dgEkjBURd0DbaA
563	Bowl of Apples on a Table		Henri Matisse			1916		Oil on canvas	Painting	0.779	3:4 (Portrait)	Portrait					45 1/4 × 35 1/4 in. (114.9 × 89.5 cm)	114.9	89.5			Chrysler Museum of Art	Norfolk, United States	https://chrysler.org/	36.856389	-76.293056	71.515		© 2014 Succession H. Matisse / Artists Rights Society (ARS), New York	Modern art, Modernism	Fruit, Oil paint	#5d877d	http://www.wikidata.org/entity/Q73190361		http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Pommes%20sur%20la%20table%2C%20sur%20fond%20vert%2C%20par%20Henri%20Matisse.jpg	wAFI-ZgzqeplLA	https://artsandculture.google.com/asset/bowl-of-apples-on-a-table-henri-matisse/wAFI-ZgzqeplLA
562	The Painter and his Pug	The Painter and his Pug	William Hogarth			1745-01-01		Oil paint on canvas	Painting	0.7665	3:4 (Portrait)	Portrait	1533	2000	3.07	3	900 x 699 mm	90.0	69.9		55.7	Tate Britain	London, United Kingdom	http://www.tate.org.uk/britain/	51.491062	-0.127789			Tate	Rococo	Dog, Mammal, Oil paint, Pet, Selfie	#0f191c				1AHBHUMVSfHpFg	https://artsandculture.google.com/asset/the-painter-and-his-pug-william-hogarth/1AHBHUMVSfHpFg
561	The Archdukes Albert and Isabella Visiting a Collector's Cabinet		Hieronymus Francken II	1578/1623	Flemish	circa 1621-1623		oil on panel	paintings	1.3146	4:3 (Standard)	Landscape	7505	5709	42.85	2						The Walters Art Museum	Baltimore, United States	http://thewalters.org/	39.296425	-76.616498	37.2010	The Walters Art Museum	Museum purchase, 1948		Masonite, Oil paint	#150d11	http://www.wikidata.org/entity/Q7714179	https://en.wikipedia.org/wiki/The_Archdukes_Albert_and_Isabella_Visiting_a_Collector%27s_Cabinet	http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Brueghel%20the%20Elder%20-%20The%20Archdukes%20Albert%20and%20Isabella%20Visiting%20a%20Collector%27s%20Cabinet%20-%20Walters%20372010.jpg	ogH_NJF61Jjjmg	https://artsandculture.google.com/asset/the-archdukes-albert-and-isabella-visiting-a-collector-s-cabinet/ogH_NJF61Jjjmg
560	Portrait of a Boy in Fancy Dress		Nicolas de Largillierre			about 1710–1714		Oil on canvas	Painting	0.7828	3:4 (Portrait)	Portrait	3286	4198	13.79	2	114.9 × 146.1 cm (45 1/4 × 57 1/2 in.)	114.9	146.1		57.1	The J. Paul Getty Museum	Los Angeles, United States	http://www.getty.edu/museum	34.077344	-118.473265	71.PA.69	Find out more about this object on the Museum website.			Birds, Dog, Medicine, Oil paint, Pet	#180e06	http://www.wikidata.org/entity/Q20183443		http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20de%20bourbon%20%281707-1712%29.jpg	fgHgt_n9gWko8A	https://artsandculture.google.com/asset/portrait-of-a-boy-in-fancy-dress-nicolas-de-largillierre/fgHgt_n9gWko8A
559	Classical Vase		Anonymous, British, 19th century			19th century		Ink on tracing paper	Drawing ; Ornament and architecture	0.7318	3:4 (Portrait)	Portrait										The Metropolitan Museum of Art	New York City, United States	http://www.metmuseum.org/	40.779437	-73.963244		http://www.metmuseum.org/art/collection/search/386485			Drawing, Ink, Tracing paper, Vase	#f2d7a6				rwGCpfCZvvcaoA	https://artsandculture.google.com/asset/classical-vase-anonymous-british-19th-century/rwGCpfCZvvcaoA
558	An elegantly dressed male and female skeleton arm in arm (vignette for the feast of the dead)		José Guadalupe Posada			ca. 1890–1910		Metal-plate engraving	Print	0.8154	0.82:1	Portrait					Sheet: 3 1/4 × 2 9/16 in. (8.2 × 6.5 cm)	8.2	6.5			The Metropolitan Museum of Art	New York City, United States	http://www.metmuseum.org/	40.779437	-73.963244		http://www.metmuseum.org/art/collection/search/717597			Engraving, Metal	#e9e5dd				RgEsUPywETGWkA	https://artsandculture.google.com/asset/an-elegantly-dressed-male-and-female-skeleton-arm-in-arm-vignette-for-the-feast-of-the-dead-jos%C3%A9-guadalupe-posada/RgEsUPywETGWkA
557	Hase		Albrecht Dürer	1471 - 1528	German	1502		Watercolor and body color, heightened with white body color	Drawing	0.9003	0.90:1	Portrait	7375	8192	60.42	1	25 x 22,5 cm					Albertina Museum	Vienna, Austria	http://www.albertina.at/	48.204699	16.368182	3073	The ALBERTINA Museum, Vienna	The ALBERTINA Museum, Vienna	German Renaissance, Northern Renaissance, Renaissance	Drawing, Engraving, Mammal, Pigment, Watercolor painting	#d8cdad	http://www.wikidata.org/entity/Q699388	https://en.wikipedia.org/wiki/Young_Hare	http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%20-%20Hare%2C%201502%20-%20Google%20Art%20Project.jpg	1QHEnzUGYMDG_w	https://artsandculture.google.com/asset/hase-albrecht-d%C3%BCrer/1QHEnzUGYMDG_w
556	Untitled (Design sketch for a building, view)		Franz Ehrlich					graphite pencil on tracing paper		0.7122	3:4 (Portrait)	Portrait					29.7 x 21.0 cm	29.7	21.0			Bauhaus Dessau Foundation	Dessau-Roßlau, Germany	https://www.bauhaus-dessau.de	51.839531	12.225951			Stiftung Bauhaus Dessau (I 47024) / © (Ehrlich, Franz) Erbengemeinschaft nach Franz Ehrlich / Image by Google		Graphite, Pencil, Tracing paper	#7b796e				NQEfSaWycvwvsw	https://artsandculture.google.com/asset/untitled-design-sketch-for-a-building-view-franz-ehrlich/NQEfSaWycvwvsw
555	Untitled (exercise from Wassily Kandinsky's theory of forms and colours classes)		Corona Krause			1924		watercolor and graphite pencil on paper		0.7358	3:4 (Portrait)	Portrait					24.4 x 18.1 cm	24.4	18.1			Bauhaus Dessau Foundation	Dessau-Roßlau, Germany	https://www.bauhaus-dessau.de	51.839531	12.225951			Stiftung Bauhaus Dessau (I 43761) / Image by Google		Germany, Graphite, Pencil, Watercolor painting, Weimar	#c5bc9e				egGwiQLxZKwPag	https://artsandculture.google.com/asset/untitled-exercise-from-wassily-kandinsky-s-theory-of-forms-and-colours-classes-corona-krause/egGwiQLxZKwPag
554	Colour study red green (exercises from Wassily Kandinsky's theory of forms and colours classes)		Eduard Ludwig			1928/1929		paper; mounted on card		0.6856	2:3 (Portrait)	Portrait					26.4 x 18.0 cm	26.4	18.0			Bauhaus Dessau Foundation	Dessau-Roßlau, Germany	https://www.bauhaus-dessau.de	51.839531	12.225951			Stiftung Bauhaus Dessau (I 36172) / Image by Google		Cardboard	#585754				NQEXH9JjUAmHUQ	https://artsandculture.google.com/asset/colour-study-red-green-exercises-from-wassily-kandinsky-s-theory-of-forms-and-colours-classes-eduard-ludwig/NQEXH9JjUAmHUQ
553	Allegory of Sculpture		Gustav Klimt			1889			Illustration	0.7457	3:4 (Portrait)	Portrait	16359	21938	358.88	2	43.5 x 30 cm	43.5	30.0		1385.1	MAK – Museum of Applied Arts	Vienna, Austria	http://www.mak.at/	48.207615	16.381548	BI 21482-20	MAK – Museum of Applied Arts		Modern art, Symbolism	Austria, Jewellery, Myth, Mythology, Sculpture, Vienna, Watercolor painting	#eddecc				8AFZnRMMxIPKHw	https://artsandculture.google.com/asset/allegory-of-sculpture-gustav-klimt/8AFZnRMMxIPKHw
552	William Hogarth, Characters and Caricaturas, a print					1743/1743		etching		0.8117	0.81:1	Portrait					Height: 258.00mm; Width: 203.00mm					British Museum	London, United Kingdom	http://www.britishmuseum.org	51.519413	-0.126957		British Museum collection online	Photo: © Trustees of the British Museum		Comics, Etching	#cbbfa3				mwFMmpWdHMiLUA	https://artsandculture.google.com/asset/william-hogarth-characters-and-caricaturas-a-print/mwFMmpWdHMiLUA
